,Mean Volume,Momentum,Outlier
BAS,69.45454545454545,-9.810586792551506,True
KOR,106.66666666666667,-0.7771971390592466,True
ALKKO,11063.333333333334,-0.6851851851851851,False
OPTI,464411.75,-0.5153846153846153,True
HAMO,3725.5,-0.4878151775619458,True
ASIT,9979.083333333334,-0.4663768115942031,True
FOU,1028.25,-0.4328358208955223,True
IBAB,66354.25,-0.395856458377277,True
UMI,511011.0909090909,-0.2898787213883012,True
BEAB,78.08333333333333,-0.2770421644146641,False
VAN,8575.083333333334,-0.266495920245276,False
VGP,4745.083333333333,-0.23670207061311455,True
NEU,903.6666666666666,-0.2359307359307361,True
DEXB,1457.75,-0.2190547636909227,True
MDXH,132055.08333333334,-0.17827780181739494,False
MCC,7.666666666666667,-0.1723859069782553,True
ICE,0.0,-0.16666666666666674,True
EXM,108490.5,-0.15693765281173588,False
SOFT,1119.4545454545455,-0.15530303030303028,False
KEYW,14078.083333333334,-0.14846625766871158,False
BANI,4148.083333333333,-0.14419087136929476,True
ALPBS,605.7272727272727,-0.1428571428571429,True
VASTB,1041.5,-0.13791759921667823,False
SAB,56.25,-0.1281786597938146,True
ROU,3729.0,-0.12304695418707601,True
AGFB,291021.4166666667,-0.11527777777777792,False
ECONB,284433.3333333333,-0.11017074981440245,False
GENK,30.25,-0.09976923427168027,True
BEKB,115728.08333333333,-0.09224737622563517,False
SUCR,22.5,-0.09090909090909072,True
NYR,476188.0,-0.08879074017666788,False
ACCB,225821.58333333334,-0.06388206388206386,True
LOTB,215.41666666666666,-0.06339862994413303,False
SIOE,11963.25,-0.06190048918352398,False
ALEMK,8.833333333333334,-0.06000000000000005,True
CAND,13.333333333333334,-0.05874499332443295,True
GLOG,8898.666666666666,-0.05396825396825389,False
OBEL,72614.66666666667,-0.049102816031808216,False
QRF,2592.9166666666665,-0.04607424128854465,False
ASC,2504.4166666666665,-0.044139558798493406,False
COLR,373899.8333333333,-0.04158809513305117,True
IMMOU,75.08333333333333,-0.04072919473641834,True
WEHB,1822.1666666666667,-0.029870272664259345,False
INTO,11288.333333333334,-0.02206641322668712,False
EVS,28606.916666666668,-0.02205522029971496,False
ANT,70.83333333333333,-0.01484633286861714,True
HOMI,642.75,-0.012804141591753693,False
WOLS,75.83333333333333,-0.004724738832717179,True
TEXF,495.0,-0.0020994458524985493,False
WEB,1580.75,0.0066032181005872825,False
LEAS,1514.5,0.008620539243313186,False
GIMB,22018.083333333332,0.018037660693009716,False
IEP,514.25,0.01821428571428574,True
ABI,1752057.0833333333,0.022057934536690915,False
RET,9286.583333333334,0.029560646068160112,False
FLUX,1779.0833333333333,0.036406718948730044,False
SOF,15106.666666666666,0.03727402684375303,False
RES,2387.3333333333335,0.03947242677980389,True
TIG,388085.3333333333,0.0440044004400435,True
BELU,251.5,0.048000000000000265,True
UCB,423046.5833333333,0.0499895243716626,True
MOUR,44.083333333333336,0.05237074561908761,True
REAL,56.36363636363637,0.06273319813069245,True
EURN,401074.25,0.06511881415885501,False
TUB,6906.916666666667,0.06526361274001635,True
BNB,98.66666666666667,0.08163935516801368,True
DIE,51174.916666666664,0.08347891077880187,False
BEFB,29399.416666666668,0.09185904164432035,False
COFB,39085.0,0.0923197409773635,False
ELI,34072.583333333336,0.09328614114469569,False
IMMO,1670.3333333333333,0.09869793510942237,False
REA,2628.3333333333335,0.10320579677995112,False
RTL,11567.333333333334,0.1035374915166074,False
CONN,4743.833333333333,0.11040609137055846,False
CPINV,8372.166666666666,0.11355266082041582,False
DIEG,26.916666666666668,0.11610221188304926,True
TINC,8337.5,0.12149257792534907,False
WOLE,4.333333333333333,0.12249652831046642,True
ONTEX,157262.08333333334,0.12568231084386317,False
SOLB,268338.8333333333,0.13007796170949715,False
ENGB,21.25,0.13333333333333308,True
PCBB,474.0,0.14375000000000027,True
MIKO,142.58333333333334,0.1471214796475495,False
BOTHE,15450.083333333334,0.15612026670021373,False
ATEB,1512.4166666666667,0.15793070726264968,False
PROX,781317.8333333334,0.15951779683645517,False
ZEN,21.09090909090909,0.16250626114176336,True
MONT,3744.6666666666665,0.1723532058763273,False
COMB,362.5833333333333,0.17612996794462776,False
TNET,155014.0,0.17804092733841825,False
WDP,22977.75,0.18081141763886022,False
MITRA,23198.5,0.19444444444444464,False
ACKB,35629.583333333336,0.20261758424407939,False
GBLB,235272.08333333334,0.20673333978705233,False
TESB,48011.75,0.21073748842949724,False
TERB,678.0,0.21213310483438352,False
XIOR,3322.1666666666665,0.2130013968488651,False
AED,26119.583333333332,0.22059336919060235,False
NEWT,330.0,0.2222222222222221,True
PIC,1930.5833333333333,0.22557312825392195,False
SOLV,2074.9166666666665,0.22680946145508774,False
SIP,4222.333333333333,0.23061699687799275,False
AGS,753683.5833333334,0.24161395559049015,False
FAGR,165859.0,0.24447466848010913,False
EZBG,661.6666666666666,0.24634146341463414,True
QFG,12922.666666666666,0.24789444132509852,False
BREB,4234.583333333333,0.2528465257063872,False
GREEN,78581.58333333333,0.26272037951384997,False
KBC,798966.0,0.2644800576159867,False
BAR,15662.833333333334,0.2651019351130386,False
DECB,42722.166666666664,0.2736315428037104,False
CFEB,21857.166666666668,0.28894877657216833,False
JEN,3297.75,0.29102810910704546,False
BPOST,336076.8333333333,0.29973720992107844,False
COBH,5.166666666666667,0.320420064177684,True
MELE,36066.583333333336,0.43644894265436185,False
BCART,66866.66666666667,0.43965517241379337,False
NYS,15913.333333333334,0.4525004045962131,True
KBCA,45897.916666666664,0.4652961009500387,False
KIN,14624.833333333334,0.48965082895774237,False
REC,123911.83333333333,0.4994766668901409,False
FLOB,129.41666666666666,0.5947675899503224,True
OIM,40960.083333333336,0.666666666666667,True
LUXA,45.75,0.6753533775799694,True
ARGX,14837.333333333334,0.7076502732240435,True
PAY,4450.916666666667,0.7094400894828095,False
THR,60826.0,0.7181612660135646,True
ABO,888.9166666666666,0.7609756097560978,True
PHAR,220.0,0.7714293935806369,True
SPA,37.0,0.7944832725641349,True
CAMB,462.9166666666667,0.8467397058507211,True
VALOR,1691.2727272727273,0.9249999398437518,True
ABLX,201187.66666666666,0.9786693753174203,True
CYAD,52042.0,1.0264074869413813,False
SAP,2007.9166666666667,1.2073190492965966,True
VIO,10749.583333333334,1.5721784776902887,False
ENVI,474.1666666666667,1.6131147540983606,True
ALEVA,0.0,1.6190476190476186,True
SMAR,31245.25,10.322148322147651,True
ZENT,6628.5,11.522522522522525,True
DISL,4.5,,True
REI,22.857142857142858,,True
SAIG,1.0909090909090908,,True
SCHD,0.0,,True
