Symbol,Date,Close,High,Low,Open,Volume
XBRU:TEAM,2009-11-26,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-11-27,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-11-30,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-01,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-02,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-03,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-04,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-07,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-08,1.33,1.33,1.33,1.33,0
XBRU:TEAM,2009-12-09,0.97,0.97,0.97,0.97,600
XBRU:TEAM,2009-12-10,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-11,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-14,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-15,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-16,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-17,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-18,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-21,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-22,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-23,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-24,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-25,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-28,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-29,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-30,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2009-12-31,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-01,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-04,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-05,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-06,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-07,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-08,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-11,0.97,0.97,0.97,0.97,0
XBRU:TEAM,2010-01-12,1.0,1.0,1.0,1.0,100
XBRU:TEAM,2010-01-13,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-14,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-15,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-18,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-19,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-20,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-21,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-22,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-25,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-26,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-27,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-28,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-01-29,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-01,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-02,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-03,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-04,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-05,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-08,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-09,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-10,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-11,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-12,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-15,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-16,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-17,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-18,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-19,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-22,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-23,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-24,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-25,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-02-26,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-01,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-02,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-03,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-04,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-05,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-08,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-09,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-10,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-11,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-12,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-15,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-16,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-17,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-18,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-19,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-22,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-23,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-24,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-25,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-26,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-29,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-30,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-03-31,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-01,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-02,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-05,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-06,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-07,0.61,0.61,0.61,0.61,400
XBRU:TEAM,2010-04-08,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-09,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-12,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-13,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-14,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-15,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-16,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-19,0.61,0.61,0.61,0.61,0
XBRU:TEAM,2010-04-20,0.72,0.72,0.72,0.72,18308
XBRU:TEAM,2010-04-21,0.72,0.72,0.72,0.72,0
XBRU:TEAM,2010-04-22,0.72,0.72,0.72,0.72,0
XBRU:TEAM,2010-04-23,0.72,0.72,0.72,0.72,0
XBRU:TEAM,2010-04-26,1.0,1.0,1.0,1.0,2691
XBRU:TEAM,2010-04-27,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-28,1.0,1.0,1.0,1.0,0
XBRU:TEAM,2010-04-29,1.1,1.1,1.1,1.1,600
XBRU:TEAM,2010-04-30,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-03,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-04,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-05,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-06,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-07,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-10,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-11,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-12,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-13,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-14,1.1,1.1,1.1,1.1,0
XBRU:TEAM,2010-05-17,1.08,1.08,1.08,1.08,500
XBRU:TEAM,2010-05-18,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-19,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-20,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-21,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-24,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-25,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-26,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-27,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-28,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-05-31,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-01,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-02,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-03,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-04,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-07,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-08,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-09,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-10,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-11,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-14,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-15,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-16,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-17,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-18,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-21,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-22,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-23,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-24,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-25,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-28,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-29,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-06-30,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-01,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-02,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-05,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-06,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-07,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-08,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-09,1.08,1.08,1.08,1.08,0
XBRU:TEAM,2010-07-12,0.7,0.7,0.7,0.7,1000
XBRU:TEAM,2010-07-13,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-14,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-15,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-16,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-19,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-20,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-21,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-22,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-23,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-26,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-27,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-28,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-29,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-07-30,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-08-02,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-08-03,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-08-04,0.65,0.65,0.65,0.65,2261
XBRU:TEAM,2010-08-05,0.65,0.65,0.65,0.65,0
XBRU:TEAM,2010-08-06,0.65,0.65,0.65,0.65,0
XBRU:TEAM,2010-08-09,0.7,0.7,0.7,0.7,0
XBRU:TEAM,2010-08-10,0.65,0.65,0.65,0.65,0
XBRU:TEAM,2010-08-11,0.65,0.65,0.65,0.65,0
XBRU:TEAM,2010-08-12,0.65,0.65,0.65,0.65,0
XBRU:TEAM,2010-08-13,0.65,0.65,0.65,0.65,300
XBRU:TEAM,2010-08-16,0.7,0.7,0.7,0.7,25
XBRU:TEAM,2010-08-17,0.8,0.8,0.79,0.8,0
XBRU:TEAM,2010-08-18,0.7,0.7,0.7,0.7,430
XBRU:TEAM,2010-08-19,0.63,0.63,0.63,0.63,235
XBRU:TEAM,2010-08-20,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-23,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-24,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-25,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-26,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-27,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-30,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-08-31,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-09-01,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-09-02,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-09-03,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-09-06,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-09-07,0.63,0.9,0.63,0.9,0
XBRU:TEAM,2010-09-08,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-09,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-10,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-13,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-14,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-15,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-16,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-17,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-20,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-21,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-22,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-23,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-24,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-27,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-28,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-29,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-09-30,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-01,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-04,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-05,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-06,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-07,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-08,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-11,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-12,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-13,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-14,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-15,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-18,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-19,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-20,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-21,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-22,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-25,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-26,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-27,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-28,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-10-29,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-11-01,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-11-02,0.65,0.9,0.65,0.9,0
XBRU:TEAM,2010-11-03,0.63,0.63,0.63,0.63,0
XBRU:TEAM,2010-11-04,0.63,0.63,0.63,0.63,0
XBRU:TEAM,2010-11-05,0.66,0.66,0.66,0.66,1000
XBRU:TEAM,2010-11-08,0.66,0.66,0.66,0.66,0
XBRU:TEAM,2010-11-09,0.66,0.66,0.66,0.66,0
XBRU:TEAM,2010-11-10,0.65,0.65,0.65,0.65,0
XBRU:TEAM,2010-11-11,0.66,0.66,0.66,0.66,2000
XBRU:TEAM,2010-11-12,0.72,0.72,0.72,0.72,1
XBRU:TEAM,2010-11-15,0.79,0.79,0.79,0.79,1
XBRU:TEAM,2010-11-16,0.65,0.86,0.65,0.86,0
XBRU:TEAM,2010-11-17,0.65,0.86,0.65,0.86,0
XBRU:TEAM,2010-11-18,0.65,0.86,0.65,0.86,0
XBRU:TEAM,2010-11-19,0.8,0.8,0.8,0.8,1000
XBRU:TEAM,2010-11-22,0.68,0.88,0.68,0.88,0
XBRU:TEAM,2010-11-23,0.68,0.88,0.68,0.88,0
XBRU:TEAM,2010-11-24,0.8,0.8,0.8,0.8,1
XBRU:TEAM,2010-11-25,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-11-26,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-11-29,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-11-30,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-01,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-02,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-03,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-06,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-07,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-08,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-09,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-10,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-13,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-14,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-15,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-16,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-17,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-20,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-21,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-22,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-23,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-24,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-27,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-28,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-29,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-30,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2010-12-31,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-03,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-04,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-05,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-06,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-07,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-10,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-11,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-12,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-13,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-14,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-17,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-18,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-19,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-20,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-21,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-24,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-25,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-26,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-27,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-28,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-01-31,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-01,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-02,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-03,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-04,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-07,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-08,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-09,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-10,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-11,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-14,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-15,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-16,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-17,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-18,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-21,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-22,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-23,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-24,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-25,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-02-28,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-01,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-02,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-03,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-04,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-07,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-08,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-09,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-10,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-11,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-14,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-15,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-16,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-17,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-18,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-21,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-22,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-23,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-24,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-25,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-28,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-29,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-30,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-03-31,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-01,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-04,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-05,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-06,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-07,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-08,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-11,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-12,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-13,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-14,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-15,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-18,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-19,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-20,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-21,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-22,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-25,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-26,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-27,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-28,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-04-29,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-02,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-03,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-04,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-05,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-06,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-09,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-10,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-11,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-12,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-13,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-16,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-17,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-18,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-19,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-20,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-23,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-24,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-25,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-26,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-27,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-30,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-05-31,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-06-01,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-06-02,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-06-03,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-06-06,0.8,0.8,0.8,0.8,0
XBRU:TEAM,2011-06-07,0.8,0.8,0.8,0.8,0
