Date,Close,High,Low,Open,Symbol,Volume
2011-07-07,16.49,16.5,16.49,16.5,XPAR:HXL,80
2011-07-08,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-11,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-12,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-13,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-14,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-15,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-18,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-19,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-20,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-21,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-22,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-25,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-26,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-27,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-28,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-07-29,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-01,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-02,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-03,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-04,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-05,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-08,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-09,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-10,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-11,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-12,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-15,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-16,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-17,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-18,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-19,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-22,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-23,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-24,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-25,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-26,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-29,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-30,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-08-31,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-01,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-02,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-05,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-06,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-07,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-08,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-09,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-12,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-13,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-14,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-15,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-16,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-19,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-20,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-21,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-22,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-23,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-26,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-27,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-28,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-29,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-09-30,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-03,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-04,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-05,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-06,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-07,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-10,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-11,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-12,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-13,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-14,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-17,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-18,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-19,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-20,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-21,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-24,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-25,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-26,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-27,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-28,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-10-31,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-01,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-02,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-03,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-04,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-07,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-08,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-09,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-10,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-11,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-14,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-15,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-16,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-17,16.49,16.5,16.49,16.5,XPAR:HXL,0
2011-11-18,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-21,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-22,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-23,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-24,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-25,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-28,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-29,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-11-30,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-01,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-02,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-05,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-06,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-07,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-08,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-09,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-12,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-13,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-14,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-15,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-16,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-19,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-20,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-21,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-22,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-23,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-26,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-27,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-28,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-29,16.49,16.49,16.49,16.49,XPAR:HXL,0
2011-12-30,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-02,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-03,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-04,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-05,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-06,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-09,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-10,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-11,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-12,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-13,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-16,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-17,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-18,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-19,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-20,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-23,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-24,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-25,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-26,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-27,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-30,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-01-31,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-01,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-02,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-03,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-06,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-07,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-08,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-09,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-10,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-13,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-14,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-15,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-16,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-17,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-20,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-21,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-22,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-23,16.49,16.49,16.49,16.49,XPAR:HXL,0
2012-02-24,16.5,16.5,16.5,16.5,XPAR:HXL,40
2012-02-27,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-02-28,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-02-29,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-01,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-02,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-05,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-06,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-07,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-08,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-09,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-12,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-13,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-14,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-15,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-16,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-19,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-20,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-21,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-22,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-23,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-26,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-27,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-28,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-29,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-03-30,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-02,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-03,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-04,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-05,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-06,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-09,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-10,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-11,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-12,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-13,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-16,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-17,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-18,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-19,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-20,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-23,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-24,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-25,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-26,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-27,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-04-30,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-01,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-02,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-03,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-04,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-07,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-08,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-09,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-10,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-11,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-14,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-15,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-16,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-17,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-18,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-21,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-22,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-23,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-24,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-25,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-28,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-29,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-30,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-05-31,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-01,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-04,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-05,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-06,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-07,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-08,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-11,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-12,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-13,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-14,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-15,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-18,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-19,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-20,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-21,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-22,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-25,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-26,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-27,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-28,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-06-29,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-02,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-03,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-04,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-05,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-06,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-09,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-10,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-11,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-12,16.5,16.5,16.5,16.5,XPAR:HXL,0
2012-07-13,16.5,16.5,16.5,16.5,XPAR:HXL,0
